age,address,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,outcome,first_name,second_name,date,geographical_feature
3,"3887RATKEMEADOWS\NNORTHLEANNATON,VI94092-4948",services,married,secondary,False,4789,True,True,cellular,220,1,339,4,failure,False,domenico,swift,11/05,unknown
3,"056 pfannerstill cape st.\neast marta, nj 21058",management,single,tertiary,False,1350,True,False,cellular,185,1,330,1,failure,False,talon,gulgowski,16/04,unknown
3,"3547 Treutel Crossing Apt. 567\nReillytown, AS 77039-3937",management,single,tertiary,False,747,False,False,cellular,141,2,176,3,failure,False,richmond,effertz,23/02,unknown
3,"177CorneliusCampApt.478\nNikolausbury,AA16457-1154",self-employed,married,tertiary,False,307,True,False,cellular,341,1,330,2,other,False,lauren,mcclure,14/05,unknown
4,"03353CORKERYPRAIRIE\NWESTLONNIE,AR87918-1164",services,married,primary,False,-88,True,True,cellular,313,1,147,2,failure,False,justina,willms,17/04,unknown
3,"0036 0'R3illy Gr0v3s Apt. 281\nPark3rvill3, VA 86050-0641",blue-collar,married,secondary,False,360,True,True,cellular,89,1,241,1,failure,False,donavon,witting,29/01,unknown
3,"84007 K3agan Cr0ssing\nN3w J0rdynm0uth, WI 12784",admin.,single,tertiary,False,2317,True,False,cellular,114,1,152,2,failure,False,therese,boyer,20/04,unknown
3,"52473RN3STINACLUBAV3.\N3ASTJ0NATHANBURGH,VA41037-0979",services,married,secondary,False,132,False,False,cellular,148,1,152,1,other,False,adalberto,oberbrunner,07/07,unknown
6,"649BOGISICHDRIVESST.\NMELODYVIEW,AA86254-5642",retired,married,unknown,False,696,False,False,telephone,119,1,105,2,failure,False,ansel,denesik,17/08,unknown
3,"61573HesselGlen\nKerlukehaven,MO78369-8019",management,married,secondary,False,3935,True,False,cellular,765,1,342,2,failure,True,eulah,thiel,06/05,unknown
3,"7575 P0llich Fi3ld Av3.\nLak3 Shani3land, GA 48064-0663",management,single,tertiary,False,11971,True,False,unknown,609,2,101,3,failure,False,philip,hickle,17/11,unknown
5,"7822 W3B3R STATI0N \NW3ST MARYJAN3B3RG, SD 78054",blue-collar,married,primary,False,145,False,False,telephone,59,3,5,2,other,False,isabella,thompson,02/02,unknown
6,"381 murazik unions apt. 114\nstrosinton, fm 05678",admin.,married,unknown,False,4629,True,False,cellular,181,1,92,1,success,True,felton,lockman,27/01,unknown
3,"603 Geovany Club \nWest Chad, NJ 94040-2180",technician,married,tertiary,False,1539,True,False,cellular,441,1,56,1,other,True,amely,boehm,15/06,unknown
5,"39792 Dereck Dam\nNorth Evie, RI 78890",blue-collar,divorced,secondary,False,203,True,False,cellular,134,1,170,5,failure,False,prudence,rowe,08/05,unknown
3,"0170 mohr parks ave.\nconnellytown, ky 29076-5325",management,married,tertiary,False,0,False,False,cellular,268,2,182,3,success,True,misael,franecki,16/07,unknown
4,"985 Zelda Bridge Apt. 181\nSipesmouth, PR 14631",blue-collar,divorced,secondary,False,174,True,False,cellular,367,2,297,1,other,False,roma,friesen,14/05,unknown
4,"23563 williams0n plains\nlak3 kal3shir3, ny 52332",unemployed,married,secondary,False,219,True,False,cellular,204,2,196,1,failure,False,kole,russel,17/11,flat
5,"9329LeuschkeHarborAve.\nSouthGiuseppe,MI01799",services,married,secondary,False,657,False,False,telephone,398,2,460,2,failure,True,verlie,kuvalis,07/07,unknown
3,"9804 Crona Lock Suite 555\nPorterstad, OH 74434-0051",admin.,single,tertiary,False,261,False,False,cellular,233,1,137,20,failure,False,polly,dicki,19/10,unknown
3,"5835 Davis Fall Apt. 454\nNew Laurel, MN 50972-9205",blue-collar,divorced,secondary,False,2843,False,False,cellular,473,1,182,1,success,False,maximo,douglas,12/02,unknown
3,"717 Andres Manors \nLake Griffin, NH 22488-4768",management,single,tertiary,False,493,True,False,cellular,553,1,367,7,failure,False,alanna,bayer,11/05,water
3,"41399 Lu3ttg3n Missi0n\nP0rt Guadalup3, GA 83777-4095",management,single,tertiary,False,574,True,False,cellular,259,2,145,3,failure,False,chesley,bailey,14/04,unknown
2,"336CummerataSummitSt.\nTrantowmouth,OH30723",student,single,secondary,False,2488,False,False,cellular,258,6,169,3,success,True,dane,klein,30/06,unknown
3,"4532 BEULAH JUNCTIONS APT. 735\NEAST RAPHAELVILLE, MA 10842",blue-collar,single,secondary,False,22,False,False,cellular,76,2,207,1,failure,False,ellen,hoeger,30/01,unknown
5,"545JAV0NT3CR0SSR0ADST.\NN3WSINC3R3HAV3N,WY47651",management,single,tertiary,True,-55,True,False,cellular,281,2,266,6,failure,False,elyssa,nolan,11/05,unknown
3,"1274BrycenGlens\nWestKatarina,CO31104-3663",blue-collar,single,secondary,False,228,False,False,telephone,176,1,288,3,failure,False,nathaniel,lueilwitz,05/02,unknown
4,"6812 Gayl0rd Isl3 Av3.\nS0uth Macishir3, PW 39839",admin.,married,unknown,False,0,True,False,cellular,85,1,168,2,failure,False,jaquan,cruickshank,08/05,unknown
2,"602JAIDENLOAFST.\NNORTHMUHAMMADFURT,AZ45534-7818",admin.,single,secondary,False,428,True,True,cellular,54,1,345,2,failure,False,amira,zieme,07/05,unknown
